id,value,feed_id,created_at,lat,lon,ele
0F394802PN525D0ZDE538HAX3W,28.07,2301481,2022-08-15 09:33:11 UTC,,,
0F3948KE7CYNAEKZPEZCKXNREF,27.6,2301481,2022-08-15 09:34:15 UTC,,,
0F39494SEG5W51HTACX9DGG3YV,27.6,2301481,2022-08-15 09:35:12 UTC,,,
0F3949Q2JBHQXNZBHM7CG0KFJ9,27.57,2301481,2022-08-15 09:36:11 UTC,,,
0F394A9BWAE6ACTAQ9PM2DRAAG,27.59,2301481,2022-08-15 09:37:11 UTC,,,
0F394AVM3HMP5N3ACV3ZED1ZD6,27.57,2301481,2022-08-15 09:38:11 UTC,,,
0F394BE2Q285W85M40T358H2S1,27.6,2301481,2022-08-15 09:39:12 UTC,,,
0F394C1SJ8YZY1TRAT5WSRGVBV,27.62,2301481,2022-08-15 09:40:16 UTC,,,
0F394CM2GY07VGAW7F9FXJEZMR,27.64,2301481,2022-08-15 09:41:16 UTC,,,
0F394D4XW5KBXA1KCRYG6Y0GP7,27.66,2301481,2022-08-15 09:42:11 UTC,,,
0F394DQ6FRC3YHFBM4863TXY3Z,27.63,2301481,2022-08-15 09:43:11 UTC,,,
0F394E9MXVVXSGMHJQS6HJ5M4K,27.66,2301481,2022-08-15 09:44:12 UTC,,,
0F394EVXZ57ZGNR7AYFW80W5M6,27.69,2301481,2022-08-15 09:45:12 UTC,,,
0F394FE6RCRJ5XMAYYE6BDY4S6,27.69,2301481,2022-08-15 09:46:12 UTC,,,
0F394G1WNBAXY86HB9EG1EMKDT,27.7,2301481,2022-08-15 09:47:16 UTC,,,
0F394GKDQS4317VK77WS40TKTJ,27.7,2301481,2022-08-15 09:48:13 UTC,,,
0F394H572H52DJ8GTF1TY55GH5,27.74,2301481,2022-08-15 09:49:12 UTC,,,
0F394HQG2TYAMAH3AHK1ZEX06P,27.77,2301481,2022-08-15 09:50:12 UTC,,,
0F394J9S07QG137SD0YB8Z0PC3,27.78,2301481,2022-08-15 09:51:12 UTC,,,
0F394JW1R2M6FE92MC0QND4SVX,27.8,2301481,2022-08-15 09:52:11 UTC,,,
0F394KEGJ7D95BV2SP359F2WJW,27.78,2301481,2022-08-15 09:53:12 UTC,,,
0F394M0S7JECVKQ1PH627TF99A,27.81,2301481,2022-08-15 09:54:12 UTC,,,
0F394MK2B0JHS5XR4G0YRM0AXY,27.84,2301481,2022-08-15 09:55:12 UTC,,,
0F394N5BFGYCYSPQZ4DTXG15B1,27.84,2301481,2022-08-15 09:56:12 UTC,,,
0F394NQSD014S5XVZZ03HANCHS,27.86,2301481,2022-08-15 09:57:12 UTC,,,
0F394PA2JGQZ6XE0C80M33TMJT,27.89,2301481,2022-08-15 09:58:12 UTC,,,
0F394PWBV6RHT49WRVWWZMJ67C,27.9,2301481,2022-08-15 09:59:12 UTC,,,
0F394QF44NZE1TE39DYR1VN3KD,27.91,2301481,2022-08-15 10:00:13 UTC,,,
0F394R0XQMJ3G41Z5XG76K9649,27.94,2301481,2022-08-15 10:01:12 UTC,,,
0F394RKBPXCGEYGDPJNR1MQ340,27.96,2301481,2022-08-15 10:02:12 UTC,,,
0F394S5MCN3CWFF8R3T6MKEBXY,27.93,2301481,2022-08-15 10:03:12 UTC,,,
0F394SQXRJAETMN87BJQ2M9KGZ,27.93,2301481,2022-08-15 10:04:12 UTC,,,
0F394TA6C2Q16RQY9T6CX73G2K,27.96,2301481,2022-08-15 10:05:12 UTC,,,
0F394TWMS6RAGFR6XQV1V4QJX9,27.94,2301481,2022-08-15 10:06:12 UTC,,,
0F394VEXKESYH2C0FY7XFPJE4A,27.94,2301481,2022-08-15 10:07:12 UTC,,,
0F394W1PMZH8MP88973F2TB3XX,27.94,2301481,2022-08-15 10:08:14 UTC,,,
0F394WKFPYNHKDABM42YRNGYKE,27.96,2301481,2022-08-15 10:09:12 UTC,,,
0F394X5RYE1GHG13Q26JN34BGN,27.99,2301481,2022-08-15 10:10:12 UTC,,,
0F394XRPFC1FJGERSY3K2S8ZK3,28.01,2301481,2022-08-15 10:11:14 UTC,,,
0F394YAFQDZPVAY16N3S1DQHM9,28.02,2301481,2022-08-15 10:12:12 UTC,,,
0F394YWS1ZXT4PKTP5ESCX6Z6H,28.01,2301481,2022-08-15 10:13:12 UTC,,,
0F394ZF218YS9W5ZJ8QKR1T8Y1,28.05,2301481,2022-08-15 10:14:12 UTC,,,
0F39501G789MCDRZ1GNDRXAG1Q,28.05,2301481,2022-08-15 10:15:12 UTC,,,
0F3950KS8V3J0DHBWC1BHG1484,28.06,2301481,2022-08-15 10:16:12 UTC,,,
0F3951628GVS6XFZBYQ6AWMERJ,28.09,2301481,2022-08-15 10:17:12 UTC,,,
0F3951RBCANPGYFJJSG7798588,28.13,2301481,2022-08-15 10:18:12 UTC,,,
0F3952ASMATA114MK30QRNC7AP,28.13,2301481,2022-08-15 10:19:13 UTC,,,
0F3952YF40129FCJFWF355DBSM,28.12,2301481,2022-08-15 10:20:17 UTC,,,
0F3953FBBR89FB2G2ETX63GH4Q,28.11,2301481,2022-08-15 10:21:12 UTC,,,
0F39541MEYZ3WK97RH9MJN605H,28.1,2301481,2022-08-15 10:22:12 UTC,,,
0F3954KXJQAP3YCPA3Z9ET2DA0,28.06,2301481,2022-08-15 10:23:12 UTC,,,
0F39556BR9M8P5NQWP0WMQ8PDR,28.07,2301481,2022-08-15 10:24:13 UTC,,,
0F3955RMWRCCYDKQA3DB4AS734,28.1,2301481,2022-08-15 10:25:13 UTC,,,
0F3956AXHSSFN6KP6BKQPKJVJW,28.11,2301481,2022-08-15 10:26:12 UTC,,,
0F3956X6VWJ2RMG9Q63VZKKXQX,28.11,2301481,2022-08-15 10:27:12 UTC,,,
