id,value,feed_id,created_at,lat,lon,ele
0F4A8AXPT7QKZRBHD8BPDRR9H1,180,2324539,2022-09-25 13:37:48 UTC,,,
0F4A8BG1KTCATKNXTCSFD8N0RP,141,2324539,2022-09-25 13:38:48 UTC,,,
0F4A8C2ANE7QGZ64MYPV0KWHEB,135,2324539,2022-09-25 13:39:48 UTC,,,
0F4A8CMRMVXVMGH8ESXQNA9097,243,2324539,2022-09-25 13:40:48 UTC,,,
0F4A8D71PSC8Y13Q8MRERGCP3G,246,2324539,2022-09-25 13:41:48 UTC,,,
0F4A8DSAQ36QCD7BMSY23R4ND5,261,2324539,2022-09-25 13:42:48 UTC,,,
0F4A8EBKRDX3VZ219QXE7NFFBT,165,2324539,2022-09-25 13:43:48 UTC,,,
0F4A8EXWVH622YK7NZ6C0VT259,177,2324539,2022-09-25 13:44:48 UTC,,,
0F4A8FGAWSSH2ZKK2JDM3KSZFE,120,2324539,2022-09-25 13:45:48 UTC,,,
0F4A8G2KVDVK27W0P8PCNP2WG4,216,2324539,2022-09-25 13:46:48 UTC,,,
0F4A8GMWXW85DZ67Q51B7Q3E8A,147,2324539,2022-09-25 13:47:48 UTC,,,
0F4A8H75ZC49JG68R6MDASHYV2,258,2324539,2022-09-25 13:48:48 UTC,,,
0F4A8HSEZPKYQVTE03QAKH7GC4,177,2324539,2022-09-25 13:49:48 UTC,,,
0F4A8JBX1PSRSY81XAEPY3S3P2,207,2324539,2022-09-25 13:50:48 UTC,,,
0F4A8JY61WTRDNHPKCEKQEWW1K,180,2324539,2022-09-25 13:51:48 UTC,,,
0F4A8KGF2NA70CNT830WCR44AP,291,2324539,2022-09-25 13:52:48 UTC,,,
0F4A8M2R3V5KX6VEW805SXJF8X,129,2324539,2022-09-25 13:53:48 UTC,,,
0F4A8MN14YQHP3YDPBFM3MEDE4,246,2324539,2022-09-25 13:54:48 UTC,,,
0F4A8N7F5S8MDQTWCFHCHPAZJR,195,2324539,2022-09-25 13:55:48 UTC,,,
0F4A8NSRBQZBPRHFTXX5B04EQV,153,2324539,2022-09-25 13:56:48 UTC,,,
0F4A8PC19AX58YYWEGAP0FR7T2,276,2324539,2022-09-25 13:57:48 UTC,,,
0F4A8PYAC2M5JZBKRJ6XW0F9KJ,180,2324539,2022-09-25 13:58:48 UTC,,,
0F4A8QGKAYW8ATWNH1X2721JAH,204,2324539,2022-09-25 13:59:48 UTC,,,
0F4A8R31C22DXJDNZPZTRWCWNV,198,2324539,2022-09-25 14:00:48 UTC,,,
0F4A8RNAC9H04ZKN9NCM0KCFJD,150,2324539,2022-09-25 14:01:48 UTC,,,
0F4A8S7KE0JETAPM11MZ4QKCKD,114,2324539,2022-09-25 14:02:48 UTC,,,
0F4A8SSWH2V0A4EPT5M1N2WWP7,225,2324539,2022-09-25 14:03:48 UTC,,,
0F4A8TC5FRD9E3CS8AWK78X08M,63,2324539,2022-09-25 14:04:48 UTC,,,
0F4A8TYKGB6VV3J4DV06GCRG3N,237,2324539,2022-09-25 14:05:48 UTC,,,
0F4A8VGWJG0SFX0YT9KDPYHCDT,189,2324539,2022-09-25 14:06:48 UTC,,,
0F4A8W35K2FKA458EG901X6N7F,234,2324539,2022-09-25 14:07:48 UTC,,,
0F4A8WNEPM5S0DF6ZCB6JQW7P4,171,2324539,2022-09-25 14:08:48 UTC,,,
0F4A8X7QP91V80XE2DYQF3MAMC,84,2324539,2022-09-25 14:09:48 UTC,,,
0F4A8XT5NS5QJ07M2P9KABRKVT,129,2324539,2022-09-25 14:10:49 UTC,,,
0F4A8YCEQEGQQ6NCR6EJW7V29Z,213,2324539,2022-09-25 14:11:48 UTC,,,
0F4A8YYQQEJ511VQMYYV3J3JAG,174,2324539,2022-09-25 14:12:48 UTC,,,
0F4A8ZH0SAZ46XKK0W68SNZH04,213,2324539,2022-09-25 14:13:48 UTC,,,
0F4A9039Y3ZVWBF8T3R1GG95YH,120,2324539,2022-09-25 14:14:48 UTC,,,
0F4A90NQWP1J4T9X1PK5XCWHKF,141,2324539,2022-09-25 14:15:49 UTC,,,
0F4A9180W4T1X598DYFTD2VB2G,180,2324539,2022-09-25 14:16:48 UTC,,,
0F4A91T9YMC5F966BCVXVC4MPZ,153,2324539,2022-09-25 14:17:48 UTC,,,
0F4A92CJY1CQDPGKRKEVRMKBR9,249,2324539,2022-09-25 14:18:48 UTC,,,
0F4A92YVZE89H3XRWJRFDB0Y1T,210,2324539,2022-09-25 14:19:48 UTC,,,
0F4A93HA2MDB61YSRMDCBRK4XR,147,2324539,2022-09-25 14:20:49 UTC,,,
0F4A943K3B4GBTGBVA8EFM5CH2,111,2324539,2022-09-25 14:21:49 UTC,,,
0F4A94NW35TXEPX2W72Y1CW4W3,192,2324539,2022-09-25 14:22:48 UTC,,,
0F4A95853XSCTWM0GM17M15SA3,180,2324539,2022-09-25 14:23:48 UTC,,,
0F4A95TE6CRCJQY2XW7MXWM9K0,141,2324539,2022-09-25 14:24:48 UTC,,,
0F4A96CW6VE1WGKF4N7ZWZSE2A,180,2324539,2022-09-25 14:25:49 UTC,,,
0F4A96Z5A9DV5WZMHSMFSBNZ7F,72,2324539,2022-09-25 14:26:49 UTC,,,
0F4A97HE8E4HE0V4EQM7XC72SH,141,2324539,2022-09-25 14:27:48 UTC,,,
0F4A983Q9KZHJF2YK1QWP57RYV,234,2324539,2022-09-25 14:28:48 UTC,,,
0F4A98P0AA70KV9T5KZK34DCWP,201,2324539,2022-09-25 14:29:48 UTC,,,
0F4A998ECVT3REA786VP93XMZK,201,2324539,2022-09-25 14:30:49 UTC,,,
0F4A99TQFGGEQJV87E2764BSZH,228,2324539,2022-09-25 14:31:49 UTC,,,
0F4A9AD0DSVGN9RDHB74S4EM9B,330,2324539,2022-09-25 14:32:49 UTC,,,
0F4A9AZ9EN88HCETGFSHJ7EBYP,105,2324539,2022-09-25 14:33:48 UTC,,,
0F4A9BHJFW2TZWFPDZQ0CD6S08,195,2324539,2022-09-25 14:34:48 UTC,,,
0F4A9C40KBZZ8A8AKF8YGC454Q,264,2324539,2022-09-25 14:35:49 UTC,,,
0F4A9CP9P15MS625RGA8BZAM29,93,2324539,2022-09-25 14:36:49 UTC,,,
0F4A9D8JQ78QAJ6C1NX0VRSX8R,147,2324539,2022-09-25 14:37:49 UTC,,,
0F4A9DTVNRQ1G8WJ6A6Y91P4T2,243,2324539,2022-09-25 14:38:49 UTC,,,
0F4A9ED4P2C2WFMGPW8RD8NA9Q,309,2324539,2022-09-25 14:39:48 UTC,,,
0F4A9EZJPHX8N9D6QTPNQM4PVD,135,2324539,2022-09-25 14:40:49 UTC,,,
0F4A9FHVSRDE1M2X22CEBNKX9E,228,2324539,2022-09-25 14:41:49 UTC,,,
0F4A9G44T0PY8NGNXQT6B71QW8,246,2324539,2022-09-25 14:42:49 UTC,,,
0F4A9GPDVQB8BPHDXA8J664R1A,240,2324539,2022-09-25 14:43:49 UTC,,,
0F4A9H8PVPDJC7SM1309XK39FR,189,2324539,2022-09-25 14:44:48 UTC,,,
0F4A9HV4ZP5SSPY2Y31RG4KZJS,180,2324539,2022-09-25 14:45:49 UTC,,,
0F4A9JDDYQWR1HRHJVCFN6YXGA,270,2324539,2022-09-25 14:46:49 UTC,,,
0F4A9JZPXTES14SVEYR42GY75K,333,2324539,2022-09-25 14:47:49 UTC,,,
0F4A9KHZYKRFYHF8PAKFQSD70R,111,2324539,2022-09-25 14:48:49 UTC,,,
0F4A9M4E1C1H6Y019GC203K0PS,192,2324539,2022-09-25 14:49:49 UTC,,,
0F4A9MPQ14K50YXAP182KYDKBY,114,2324539,2022-09-25 14:50:49 UTC,,,
0F4A9N904GWDXHSMYKDPVJCF6D,156,2324539,2022-09-25 14:51:49 UTC,,,
0F4A9NV95DDBBW9KM6EB1N5CKD,279,2324539,2022-09-25 14:52:49 UTC,,,
0F4A9PDJ5N7AW4M9XFGES44H9R,171,2324539,2022-09-25 14:53:49 UTC,,,
0F4A9Q005TYW8HQCQPNASYY3DP,303,2324539,2022-09-25 14:54:49 UTC,,,
0F4A9QJ98B460DHQGXYZDW9GZW,330,2324539,2022-09-25 14:55:49 UTC,,,
0F4A9R4J8DM7BM86PGS9D465Q8,288,2324539,2022-09-25 14:56:49 UTC,,,
0F4A9RPVAHRH7MJW0GDS5NK9SQ,237,2324539,2022-09-25 14:57:49 UTC,,,
0F4A9S94DPST5Y6PHGYPC289KA,153,2324539,2022-09-25 14:58:49 UTC,,,
0F4A9SVJDSHD9HTCH913CY0EE7,162,2324539,2022-09-25 14:59:49 UTC,,,
0F4A9TDVCR7A8KN2WE8NSCZRKF,270,2324539,2022-09-25 15:00:49 UTC,,,
0F4A9V04E96712R9M15J0WMF3D,492,2324539,2022-09-25 15:01:49 UTC,,,
0F4A9VJDFX5SEN0PX2TSRH280C,288,2324539,2022-09-25 15:02:49 UTC,,,
0F4A9W4PGPCGD0C9H96XBSM5W1,312,2324539,2022-09-25 15:03:49 UTC,,,
0F4A9WQ4KK6R7CNA1M7R9N1M9E,192,2324539,2022-09-25 15:04:49 UTC,,,
0F4A9X9DMM9ZV5WW7Q18Y9BQ8D,267,2324539,2022-09-25 15:05:49 UTC,,,
0F4A9XVPMDDV4QRK1VK8P8Y1PQ,162,2324539,2022-09-25 15:06:49 UTC,,,
0F4A9YDZN01KTRTM4FDVC31NNA,189,2324539,2022-09-25 15:07:49 UTC,,,
0F4A9Z08NQVB875ZSBSNJM7CCC,183,2324539,2022-09-25 15:08:49 UTC,,,
0F4A9ZJPS9XFASJ5GT122TBJJJ,132,2324539,2022-09-25 15:09:49 UTC,,,
0F4AA04ZQK6GP2ZP9W7PM5SZBM,336,2324539,2022-09-25 15:10:49 UTC,,,
0F4AA0Q8T7EA360R3YJSCZ7AJY,198,2324539,2022-09-25 15:11:49 UTC,,,
0F4AA19HWPHQQZD6N56S44Y9SM,192,2324539,2022-09-25 15:12:49 UTC,,,
0F4AA1VTY8RH5JCWM4BHPQ7PMW,156,2324539,2022-09-25 15:13:49 UTC,,,
0F4AA2E8XSS21DDEW8X8PC5K74,237,2324539,2022-09-25 15:14:49 UTC,,,
0F4AA30J2CPNCJ0TC1XMDTA7JP,114,2324539,2022-09-25 15:15:49 UTC,,,
0F4AA3JTZE5VZT7JMXB9JAWKQA,165,2324539,2022-09-25 15:16:49 UTC,,,
0F4AA4541PY96620AYQ6FBBDKM,123,2324539,2022-09-25 15:17:49 UTC,,,
0F4AA4QD3F5793G9WE57T86V7V,177,2324539,2022-09-25 15:18:49 UTC,,,
0F4AA59V3HJAN6ES45VQ8HYM78,255,2324539,2022-09-25 15:19:49 UTC,,,
0F4AA5W4559XG1KYBN02WRGAPZ,165,2324539,2022-09-25 15:20:49 UTC,,,
0F4AA6ED3QYC2R8SG8H3D69JAV,156,2324539,2022-09-25 15:21:49 UTC,,,
0F4AA70P65QR9TYD82BZKNZ3CN,195,2324539,2022-09-25 15:22:49 UTC,,,
0F4AA7JZATRR3X953R9GQ5S22Y,204,2324539,2022-09-25 15:23:49 UTC,,,
0F4AA85DCRTCGERPM9850NAK4S,132,2324539,2022-09-25 15:24:49 UTC,,,
0F4AA8QPD9ZHWFT5X14MCZD9G7,102,2324539,2022-09-25 15:25:49 UTC,,,
0F4AA99ZG9BRSNMM01DC2DPYXC,102,2324539,2022-09-25 15:26:49 UTC,,,
0F4AA9W8CQPWXHRAS04DM529AN,222,2324539,2022-09-25 15:27:49 UTC,,,
0F4AAAEHD8G5YWS0MYJ7GV20R6,204,2324539,2022-09-25 15:28:49 UTC,,,
0F4AAB0ZDT9XJJS3T3ZRWE1Y5V,159,2324539,2022-09-25 15:29:49 UTC,,,
0F4AABK8HRCX10S87RFK507GQV,174,2324539,2022-09-25 15:30:49 UTC,,,
0F4AAC5HGNH07YKQCJFVF2JFFH,186,2324539,2022-09-25 15:31:49 UTC,,,
0F4AACQTG5AC2JAYDEH061SMKS,168,2324539,2022-09-25 15:32:49 UTC,,,
0F4AADA3JP1P9FWE3Z5A5ZBRRS,138,2324539,2022-09-25 15:33:49 UTC,,,
0F4AADWHK3Y3Q1TMNY5Y2JAZD1,135,2324539,2022-09-25 15:34:49 UTC,,,
0F4AAEETNRR2TP542EJRY7VQQP,159,2324539,2022-09-25 15:35:49 UTC,,,
0F4AAF13Q567W2ZY16B03Q579G,111,2324539,2022-09-25 15:36:49 UTC,,,
0F4AAFKCNP51HDJ8QWJKT7N02W,252,2324539,2022-09-25 15:37:49 UTC,,,
0F4AAG5NR9R54EMEVEEN5Y88AE,294,2324539,2022-09-25 15:38:49 UTC,,,
0F4AAGR3S288D7408JPSHHHD4K,273,2324539,2022-09-25 15:39:50 UTC,,,
0F4AAHACXSWC5JRJ33RT83XTNM,153,2324539,2022-09-25 15:40:49 UTC,,,
0F4AAHWNT66QSG3Q2V9YXZ67DQ,180,2324539,2022-09-25 15:41:49 UTC,,,
0F4AAJEYXC3194PVD1HHT5MMJA,114,2324539,2022-09-25 15:42:49 UTC,,,
0F4AAK17XK6YFMB45AC3JDTMRT,195,2324539,2022-09-25 15:43:49 UTC,,,
0F4AAKKNYFDHJ8A257JYB0ACZS,144,2324539,2022-09-25 15:44:50 UTC,,,
0F4AAM5Z1DARHVBS59YGE3WQKG,153,2324539,2022-09-25 15:45:49 UTC,,,
0F4AAMR81XXSY4TN2871RMR8Q7,141,2324539,2022-09-25 15:46:49 UTC,,,
0F4AANAHAP6R129MBM3FDFEBWK,264,2324539,2022-09-25 15:47:49 UTC,,,
0F4AANWT26KY0GKACS5PV2ZVZ5,99,2324539,2022-09-25 15:48:49 UTC,,,
0F4AAPF85CHV063VFMK6STP182,162,2324539,2022-09-25 15:49:50 UTC,,,
0F4AAQ1H3V29ZZW57E0R43G57P,138,2324539,2022-09-25 15:50:50 UTC,,,
0F4AAQKTAN3W5C2B51568N99Q3,138,2324539,2022-09-25 15:51:49 UTC,,,
0F4AAR63N4ZWTBPMB1YVXZFRBZ,111,2324539,2022-09-25 15:52:49 UTC,,,
0F4AARRC9EZA55BF7GB9ZSQSMV,111,2324539,2022-09-25 15:53:49 UTC,,,
0F4AASATGP6Q8EEBK2FH9MHYX5,117,2324539,2022-09-25 15:54:50 UTC,,,
0F4AASX3ENHA60Y6M8W39M1S4K,138,2324539,2022-09-25 15:55:50 UTC,,,
0F4AATFCC8SAG6SCFT10ZH117W,192,2324539,2022-09-25 15:56:49 UTC,,,
0F4AAV1NDK12DFRZK4H2T5M3XM,132,2324539,2022-09-25 15:57:49 UTC,,,
0F4AAVM3J06Q4CHSDMZMF3MJF4,144,2324539,2022-09-25 15:58:50 UTC,,,
0F4AAW6CEABE3019VRRJX2TMKD,60,2324539,2022-09-25 15:59:50 UTC,,,
0F4AAWRNFZ2DMD5HFDPXMBVMQ7,96,2324539,2022-09-25 16:00:50 UTC,,,
0F4AAXAYHTSG7T6FRP50M7010J,84,2324539,2022-09-25 16:01:50 UTC,,,
0F4AAXX7JGEGMC6APZ5T6282F7,135,2324539,2022-09-25 16:02:49 UTC,,,
0F4AAYFNMREJAMXM652GSBQ68A,111,2324539,2022-09-25 16:03:50 UTC,,,
0F4AAZ1YMD4P8APWAB2S2G6TP5,150,2324539,2022-09-25 16:04:50 UTC,,,
0F4AAZM7RH3BPWXR95BR1SW52Y,105,2324539,2022-09-25 16:05:50 UTC,,,
0F4AB06GN37Y9ACRKN1H9QP7ZK,144,2324539,2022-09-25 16:06:50 UTC,,,
0F4AB0RSNT1X1SF165C47693JG,177,2324539,2022-09-25 16:07:49 UTC,,,
0F4AB1B88X0B6AGSW1DJAFM664,99,2324539,2022-09-25 16:08:50 UTC,,,
0F4AB1XGRSNCCPYKCE3EAKVRYH,99,2324539,2022-09-25 16:09:50 UTC,,,
0F4AB2FT25GGDZE3GKAXNR6HQ8,102,2324539,2022-09-25 16:10:50 UTC,,,
0F4AB322Y2KKP7QADNCF19WKTV,93,2324539,2022-09-25 16:11:50 UTC,,,
0F4AB3MBZNAEJAYFSGRJWSNT2K,141,2324539,2022-09-25 16:12:50 UTC,,,
0F4AB46T38TJ5VXQ23053YESA3,180,2324539,2022-09-25 16:13:50 UTC,,,
0F4AB4S2Y25HMV9YN1M98PK442,150,2324539,2022-09-25 16:14:50 UTC,,,
0F4AB5BC15H55JABRC8XK3NH7X,195,2324539,2022-09-25 16:15:50 UTC,,,
0F4AB5XN2G821ETTSKQ77Q88D2,102,2324539,2022-09-25 16:16:50 UTC,,,
0F4AB6FY3WKTQWEPV84QNCT6XJ,114,2324539,2022-09-25 16:17:50 UTC,,,
0F4AB72C4YD0T6BKZ2WP0TYKSQ,207,2324539,2022-09-25 16:18:50 UTC,,,
0F4AB7MN53B3KW154A12D70KYP,117,2324539,2022-09-25 16:19:50 UTC,,,
0F4AB86Y5AEXA7R02KFW3XK7BQ,162,2324539,2022-09-25 16:20:50 UTC,,,
0F4AB8S75QSJ16SXTCEJ7X38M2,153,2324539,2022-09-25 16:21:50 UTC,,,
0F4AB9BGA1Z9G47ZRPDEBKKZ0W,165,2324539,2022-09-25 16:22:50 UTC,,,
0F4AB9XYCVJWNEG42QZJD94HEG,192,2324539,2022-09-25 16:23:50 UTC,,,
0F4ABAG7GPTCBC10S9XDRMKJ2K,117,2324539,2022-09-25 16:24:50 UTC,,,
0F4ABB2GBMB59Q3AA0BP84JAWP,93,2324539,2022-09-25 16:25:50 UTC,,,
0F4ABBMSCY1BKH4SWZZ26WHP1Q,165,2324539,2022-09-25 16:26:50 UTC,,,
0F4ABC72D53P9NK44QMK4J83J4,246,2324539,2022-09-25 16:27:50 UTC,,,
0F4ABCSGEG34EX2YSMGQDR2ZC1,105,2324539,2022-09-25 16:28:50 UTC,,,
0F4ABDBSGMWRXSZVTXJMAYS98F,120,2324539,2022-09-25 16:29:50 UTC,,,
