id,value,feed_id,created_at,lat,lon,ele
0F3CKG0NJKXFRHDTE6V82CAY7Y,28.81025,2303967,2022-08-19 17:14:46 UTC,,,
0F3CKGK0BWZJ4YBFBEGZ2DT6R9,28.72969,2303967,2022-08-19 17:15:46 UTC,,,
0F3CKH58XAGS71Y024N1D2J73R,29.05196,2303967,2022-08-19 17:16:46 UTC,,,
0F3CKHQJYYQQ31JPBEN1CM3K50,29.13253,2303967,2022-08-19 17:17:46 UTC,,,
0F3CKJ137RVVD6FA5D82VW5X0K,28.89082,2303967,2022-08-19 17:18:17 UTC,,,
0F3CKJKCF36VBVDR2K71QBDWZ4,28.89082,2303967,2022-08-19 17:19:17 UTC,,,
0F3CKK5NG7MS12PQXE5DPXV1A3,28.81025,2303967,2022-08-19 17:20:17 UTC,,,
0F3CKKR47VDRPDCP8GSZYJN15W,28.89082,2303967,2022-08-19 17:21:18 UTC,,,
0F3CKMAC7M1KH0V0A27EFE5GCJ,29.05196,2303967,2022-08-19 17:22:17 UTC,,,
0F3CKMWP3CVEKW3GY0HD690FKF,28.89082,2303967,2022-08-19 17:23:17 UTC,,,
0F3CKNEYS7VQ0ESSCNYGQ45SDJ,28.81025,2303967,2022-08-19 17:24:17 UTC,,,
0F3CKP17X7XZS857X3AS4HX195,28.97139,2303967,2022-08-19 17:25:17 UTC,,,
0F3CKPKND25JSGAPZXEVMHE0W5,29.13253,2303967,2022-08-19 17:26:18 UTC,,,
0F3CKQ5YZQA4VGCJMNB59SPYZS,28.97139,2303967,2022-08-19 17:27:18 UTC,,,
0F3CKQR7FZ4Z6BV6JPWW6TDZZR,28.81025,2303967,2022-08-19 17:28:17 UTC,,,
0F3CKRAGWVC1V4XYEBEDQC3C6B,28.89082,2303967,2022-08-19 17:29:17 UTC,,,
0F3CKRWT61T8616X0GGGYNRCCF,28.81025,2303967,2022-08-19 17:30:17 UTC,,,
0F3CKSF2X1H8SWHB735S7R054G,28.72969,2303967,2022-08-19 17:31:17 UTC,,,
0F3CKT1GVRT5BREXCYDGWH4XVJ,28.48798,2303967,2022-08-19 17:32:18 UTC,,,
0F3CKTKSRZQER8CEB5CBX63PAZ,28.40742,2303967,2022-08-19 17:33:17 UTC,,,
0F3CKV62XQH1MPSGBKZ6CY140F,28.64912,2303967,2022-08-19 17:34:17 UTC,,,
0F3CKVRC7637QF6ERMFH8TKQVZ,28.48798,2303967,2022-08-19 17:35:17 UTC,,,
0F3CKWAMTPGFGKSH0A2TB5FAJ0,28.48798,2303967,2022-08-19 17:36:17 UTC,,,
0F3CKWX2WW3AVWK169XVBXEVT6,28.72969,2303967,2022-08-19 17:37:18 UTC,,,
0F3CKXFC7P1F3SWVD6Q3C9M5DG,28.64912,2303967,2022-08-19 17:38:18 UTC,,,
0F3CKY1N0PK3R1X8NC729S9KBN,28.81025,2303967,2022-08-19 17:39:17 UTC,,,
0F3CKYKYEPWNRG4W1KJ56ZDPE7,28.72969,2303967,2022-08-19 17:40:17 UTC,,,
0F3CKZ67AK2S3RYXXHEKH51PGJ,28.72969,2303967,2022-08-19 17:41:17 UTC,,,
0F3CKZRH0KFZ0B92JKMXDXM7ZV,28.64912,2303967,2022-08-19 17:42:17 UTC,,,
0F3CM0AY9ZE4B8WA78DA100X1R,28.64912,2303967,2022-08-19 17:43:18 UTC,,,
0F3CM0X7CFC7AFWJ5V103C0JHN,28.40742,2303967,2022-08-19 17:44:18 UTC,,,
0F3CM1FGM3RAH0SG0N4Y7CV08J,28.48798,2303967,2022-08-19 17:45:17 UTC,,,
0F3CM21SYAFDK0P5S3W1DZN0NX,28.32685,2303967,2022-08-19 17:46:17 UTC,,,
0F3CM2M273YKZ3D56A0AFE094J,28.40742,2303967,2022-08-19 17:47:17 UTC,,,
0F3CM36G87E9D63QFP9X2VB9KD,28.40742,2303967,2022-08-19 17:48:18 UTC,,,
0F3CM3RS4AQVBYASHCWSCZDNMJ,28.48798,2303967,2022-08-19 17:49:18 UTC,,,
0F3CM4B31ZMS4F3SJ4R602Q6CD,28.32685,2303967,2022-08-19 17:50:18 UTC,,,
0F3CM4XBKBWKBS53E1J1N7D1X8,28.32685,2303967,2022-08-19 17:51:17 UTC,,,
0F3CM5FN1DS9KR1ST762X3Y6PH,28.56855,2303967,2022-08-19 17:52:17 UTC,,,
0F3CM61Y64Q2XENXSYHC7Y2WPZ,28.56855,2303967,2022-08-19 17:53:17 UTC,,,
